source,target,weight
1,4,0.037688918072220454
1,6,0.012824729401064426
1,9,0.042874646285627205
1,11,0.03125
1,21,0.02282177322938192
1,23,0.020979533957417227
1,25,0.01917412472118426
1,33,0.029462782549439483
1,34,0.018633899812498248
1,36,0.017766726362967538
1,43,0.020277677641345318
1,46,0.019062321291575583
1,52,0.015939417826583455
1,59,0.018738292224896536
1,61,0.032826608214930636
1,72,0.025253813613805267
1,74,0.021926450482675733
1,86,0.02727723627949905
1,89,0.029462782549439483
1,101,0.019062321291575583
1,128,0.018430244519362142
1,130,0.01393195531438382
1,158,0.06154574548966636
1,160,0.020145574100634507
1,161,0.025
1,164,0.03340765523905305
1,179,0.04564354645876384
1,185,0.026352313834736494
1,217,0.02475368857441686
1,225,0.025515518153991442
1,227,0.08574929257125441
1,230,0.013720532498711293
1,239,0.025253813613805267
1,241,0.0206901472150592
1,245,0.022450662753346864
1,259,0.017251638983558856
1,261,0.01917412472118426
1,277,0.02906190968595482
1,288,0.013325044772225651
1,309,0.02906190968595482
1,310,0.10022296571715915
1,318,0.024514516892273006
1,344,0.02727723627949905
1,353,0.02906190968595482
1,375,0.025253813613805267
1,388,0.029462782549439483
1,404,0.023211917272131483
1,411,0.0206901472150592
1,418,0.04498201079280504
1,431,0.0236227795630767
1,440,0.018844459036110227
1,446,0.04602873089491617
1,451,0.03434014098717226
1,457,0.019062321291575583
1,471,0.018042195912175808
1,476,0.021926450482675733
1,482,0.019641855032959652
1,486,0.014291548761875737
1,496,0.025
1,500,0.028676966733820218
1,513,0.01717007049358613
1,528,0.033259505261886965
1,532,0.01237684428720843
1,553,0.025515518153991442
1,563,0.01351845176089688
1,570,0.046423834544262965
1,579,0.021281413268968714
1,596,0.03952847075210474
1,600,0.024056261216234408
1,602,0.02282177322938192
1,609,0.036860489038724284
1,618,0.023014365447458086
1,638,0.06622661785325219
1,645,0.0222717701593687
1,646,0.05212860351426869
1,659,0.03227486121839514
1,663,0.06350006350009525
1,666,0.0206901472150592
1,670,0.02830692585361489
1,677,0.017766726362967538
1,682,0.05590169943749474
1,686,0.02383656473113981
1,744,0.06933752452815364
1,778,0.02341464528954235
1,797,0.02727723627949905
1,842,0.014782809899727065
1,853,0.01917412472118426
1,913,0.026958193300859603
1,982,0.01952172023607576
1,999,0.020833333333333332
1,1015,0.02727723627949905
1,1019,0.033709993123162106
1,1142,0.026650089544451302
1,1151,0.026352313834736494
1,1160,0.020145574100634507
1,1167,0.03077287274483318
1,1179,0.022450662753346864
1,1187,0.01988893210439325
1,1247,0.018430244519362142
1,1258,0.018738292224896536
1,1276,0.018844459036110227
1,1296,0.022097086912079608
1,1317,0.016556654463313048
1,1325,0.05590169943749474
1,1326,0.042874646285627205
1,1334,0.035355339059327376
1,1355,0.041959067914834454
1,1362,0.01928791874526149
2,4,0.018918504347032943
2,5,0.048301570400147896
2,6,0.019312682188857344
2,7,0.04544574354151385
2,8,0.053068388026113036
2,9,0.04304311312825917
2,10,0.04582289310823138
2,11,0.015686395128453965
2,13,0.05476883280542996
2,15,0.023303123585256942
2,16,0.02136503407545385
2,17,0.011361435885378463
2,18,0.02738441640271498
2,20,0.024850952951359945
2,21,0.034367169831173536
2,22,0.015218038588185883
2,23,0.0210619685930793
2,24,0.024610841494742634
2,25,0.03849893076720045
2,26,0.028377756520549417
2,29,0.013227929835542418
2,31,0.034154367971904
2,32,0.04729626086758236
2,33,0.029578550313870463
2,34,0.056121353326631374
2,35,0.02121187773466487
2,36,0.008918268475796114
2,37,0.009459252173516472
2,38,0.026103739367459678
2,39,0.03240167845041672
2,40,0.02509823220552634
2,41,0.04481827179558275
2,42,0.023303123585256942
2,43,0.02035735448125178
2,46,0.05741166793827754
2,48,0.019249465383600225
2,49,0.01117964118175896
2,50,0.0101619771846847
2,51,0.00633826078154367
2,52,0.016002048393299904
2,53,0.020915193504605287
2,55,0.04126123957743235
2,57,0.010112365933827246
2,58,0.04318447020213445
2,59,0.028217880563727725
2,60,0.016477796709963355
2,64,0.014588051152682585
2,68,0.011455723277057845
2,69,0.007394637578467616
2,70,0.034154367971904
2,71,0.011857800136281224
2,72,0.05070608625234936
2,73,0.009859516771290152
2,74,0.04402521165257365
2,75,0.021845207154849153
2,77,0.012075392600036974
2,80,0.05462451415456674
2,81,0.06318590577923791
2,82,0.014394823400711484
2,83,0.012188779055693755
2,84,0.009681853268597943
2,86,0.04107662460407247
2,88,0.02257937903898626
2,89,0.014789275156935231
2,91,0.017077183985952
2,92,0.04436782547080569
2,93,0.013083357955509321
2,94,0.049433390129890065
2,97,0.010840785170131715
2,99,0.019841894753313626
2,100,0.007269507773940349
2,101,0.03827444529218502
2,102,0.05600716937654967
2,105,0.03883027491047485
2,109,0.014030338331657843
2,111,0.023930225464168262
2,114,0.007499531293940735
2,115,0.01499906258788147
2,117,0.06094389527846878
2,118,0.034804985823279566
2,119,0.05550798678618963
2,121,0.024150785200073948
2,122,0.011455723277057845
2,124,0.012188779055693755
2,128,0.046256655655158026
2,129,0.01117964118175896
2,130,0.013986697982296877
2,131,0.022183912735402846
2,132,0.023930225464168262
2,135,0.038423663968391995
2,136,0.03252235551039514
2,149,0.00998354072552019
2,158,0.01544689411561872
2,161,0.02509823220552634
2,164,0.016769461772638442
2,165,0.020630619788716175
2,166,0.00663241394919467
2,167,0.01820817138485558
2,170,0.010112365933827246
2,176,0.01117964118175896
2,177,0.014394823400711484
2,179,0.02291144655411569
2,184,0.01175332408973935
2,185,0.013227929835542418
2,187,0.014209075961972871
2,188,0.015218038588185883
2,192,0.01544689411561872
2,195,0.01053098429653965
2,205,0.009353558887771896
2,211,0.06033137827265933
2,212,0.013377402713694172
2,217,0.012425476475679972
2,222,0.024850952951359945
2,227,0.010760778282064792
2,230,0.020661666638167594
2,236,0.011552397761262904
2,237,0.012075392600036974
2,241,0.041542889533606395
2,242,0.006971731168201762
2,243,0.016769461772638442
2,246,0.0102463103915712
2,247,0.015937393387910583
2,248,0.01267652156308734
2,253,0.011857800136281224
2,254,0.006488993457057106
2,258,0.011361435885378463
2,259,0.03463885129082164
2,260,0.013377402713694172
2,261,0.009624732691800112
2,265,0.016921224701036373
2,267,0.04262722788591861
2,287,0.022012605826286825
2,288,0.006688701356847086
2,291,0.006051721165140675
2,292,0.040132208141082516
2,294,0.021521556564129584
2,299,0.03968378950662725
2,301,0.014030338331657843
2,309,0.04376415345804775
2,310,0.016769461772638442
2,313,0.00910408569242779
2,316,0.010385722383401599
2,318,0.012305420747371317
2,319,0.03622617780011092
2,341,0.00910408569242779
2,343,0.022183912735402846
2,344,0.02738441640271498
2,357,0.05634719469514609
2,358,0.014588051152682585
2,362,0.009681853268597943
2,363,0.010457596752302643
2,365,0.0102463103915712
2,368,0.012188779055693755
2,369,0.04304311312825917
2,372,0.014789275156935231
2,375,0.01267652156308734
2,379,0.052716832052563396
2,380,0.011006302913143412
2,381,0.015218038588185883
2,384,0.013377402713694172
2,388,0.014789275156935231
2,389,0.009009740289420053
2,392,0.008310855165337899
2,393,0.020915193504605287
2,396,0.041373210582693366
2,400,0.03094592968307426
2,404,0.011651561792628471
2,405,0.010840785170131715
2,411,0.010385722383401599
2,412,0.01353205990612878
2,418,0.007526459679662086
2,420,0.01369220820135749
2,421,0.026455859671084835
2,423,0.013227929835542418
2,425,0.04471856472703584
2,427,0.06441020853883797
2,430,0.01620083922520836
2,431,0.011857800136281224
2,435,0.009920947376656813
2,441,0.022012605826286825
2,444,0.02535304312617468
2,446,0.03465719328378871
2,450,0.012807887989463999
2,451,0.008618768324665618
2,458,0.014209075961972871
2,462,0.030536031721877667
2,466,0.012188779055693755
2,467,0.01017867724062589
2,468,0.016621710330675797
2,471,0.00905654445002773
2,474,0.16266639249178635
2,476,0.011006302913143412
2,479,0.010315309894358088
2,482,0.009859516771290152
2,483,0.03033709780148174
2,493,0.037837008694065886
2,495,0.007752869819814371
2,496,0.01254911610276317
2,499,0.016002048393299904
2,500,0.014394823400711484
2,501,0.011965112732084131
2,502,0.02854038109844782
2,504,0.010682517037726925
2,507,0.026754805427388343
2,510,0.014030338331657843
2,515,0.011006302913143412
2,518,0.01620083922520836
2,530,0.014588051152682585
2,531,0.0179273087182331
2,532,0.03727642942703992
2,533,0.008873565094161137
2,535,0.00905654445002773
2,538,0.010605938867332436
2,541,0.011651561792628471
2,546,0.013083357955509321
2,563,0.006785784827083926
2,565,0.010605938867332436
2,569,0.03993416290208076
2,572,0.01620083922520836
